20000601,0
20000610,0
20000610,0
20000610,0
20000611,0
20000611,0
20000611,0
20000611,0
20000612,0
20000612,0
20000612,0.96
20000613,0
20000613,0
20000613,0
20000613,0
20000613,0.44
20000613,0.03
20000613,0
20000613,0.01
20000615,0
20000615,0
20000615,0
20000615,0.01
20000615,0.02
20000616,0.08
20000616,0.02
20000616,0.01
20000616,0
20000616,0.01
20000617,0
20000617,0
20000617,0
20000619,0
20000620,0.67
20000620,0.14
20000620,0.16
20000620,0.03
20000623,0
20000623,0
20000623,0
20000623,0
20000623,0
20000623,0.01
20000623,0
20000624,0.47
20000624,0.05
20000624,0.05
20000624,0.01
20000624,0.01
20000624,0
20000624,0
20000625,0.47
20000625,0
20000625,0
20000625,0.91
20000625,0.36
20000625,0.27
20000625,0.09
20000625,0
20000625,0.01
20000627,0
20000628,0
20000628,0
20000628,0
20000628,0
20000629,0
